,Duration,Air Temp F,Wind Spd (mph),Hour,Date
123,707.8053691,65,0,3,5/6/2018
124,800.3090909,63,0,4,5/6/2018
125,872.1238095,64,0,5,5/6/2018
126,883.553719,63,0,6,5/6/2018
127,822.5720081,64,0,7,5/6/2018
128,762.7760766,63,3.5,8,5/6/2018
129,807.7726269,63,6.9,9,5/6/2018
130,837.4842147,62,4.6,10,5/6/2018
131,920.66976,63,5.8,11,5/6/2018
132,921.5416067,62,8.1,12,5/6/2018
133,1146.515345,62,10.4,13,5/6/2018
134,1253.555425,63,5.8,14,5/6/2018
135,1109.130105,64,9.2,15,5/6/2018
136,924.498702,64,9.2,16,5/6/2018
137,842.8405616,62,11.5,17,5/6/2018
138,838.5452474,61,9.2,18,5/6/2018
139,773.9970326,60,3.5,19,5/6/2018
140,829.8323882,59,3.5,20,5/6/2018
141,770.2026037,58,0,21,5/6/2018
142,669.3554502,57,0,22,5/6/2018
143,719.9927007,58,0,23,5/6/2018
144,652.0318725,58,0,0,5/7/2018
145,631.8235294,58,0,1,5/7/2018
146,643.8108108,58,0,2,5/7/2018
147,764.9318182,57,0,3,5/7/2018
148,564.1086957,56,0,4,5/7/2018
149,597.8135965,55,0,5,5/7/2018
150,642.8926363,54,0,6,5/7/2018
151,744.4161865,57,0,7,5/7/2018
152,825.5929315,59,2.3,8,5/7/2018
153,808.7227606,60,4.6,9,5/7/2018
154,825.7091743,63,0,10,5/7/2018
155,867.9442857,66,3.5,11,5/7/2018
156,1086.309486,69,0,12,5/7/2018
157,798.2921857,71,4.6,13,5/7/2018
158,1009.198147,73,5.8,14,5/7/2018
159,1471.104221,74,5.8,15,5/7/2018
160,846.3586342,75,5.8,16,5/7/2018
161,926.5848027,69,4.6,17,5/7/2018
162,926.6965556,66,3.5,18,5/7/2018
163,1183.953087,65,0,19,5/7/2018
164,777.4701466,63,4.6,20,5/7/2018
165,784.9561598,62,3.5,21,5/7/2018
166,739.0816,60,4.6,22,5/7/2018
167,760.7520259,58,0,23,5/7/2018
168,811.8871473,57,0,0,5/8/2018
169,672.4444444,57,0,1,5/8/2018
170,804.1384615,55,0,2,5/8/2018
171,778.326087,54,0,3,5/8/2018
172,702.686747,53,0,4,5/8/2018
173,604.8422053,53,0,5,5/8/2018
174,656.9425287,54,3.5,6,5/8/2018
175,760.0839383,56,0,7,5/8/2018
176,836.9775202,58,0,8,5/8/2018
177,772.4606812,61,3.5,9,5/8/2018
178,810.3102324,64,0,10,5/8/2018
179,854.6361416,65,4.6,11,5/8/2018
180,796.2255349,70,3.5,12,5/8/2018
181,1069.38107,73,0,13,5/8/2018
182,810.9646413,72,2.9,14,5/8/2018
183,842.7430097,71,5.8,15,5/8/2018
184,1281.647843,70,4.6,16,5/8/2018
185,1041.613488,67,0,17,5/8/2018
186,879.9133837,67,4.6,18,5/8/2018
187,843.791763,64,3.5,19,5/8/2018
188,1645.772363,61,5.8,20,5/8/2018
189,781.2875752,59,0,21,5/8/2018
190,738.7805447,59,0,22,5/8/2018
191,698.4061252,58,0,23,5/8/2018
192,1038.388554,57,0,0,5/9/2018
193,617.4127907,56,0,1,5/9/2018
194,657.7473684,56,0,2,5/9/2018
195,492.84375,55,0,3,5/9/2018
196,632.96875,55,0,4,5/9/2018
197,620.3923358,55,0,5,5/9/2018
198,634.343887,54,0,6,5/9/2018
199,743.9582427,57,0,7,5/9/2018
200,1008.030016,60,0,8,5/9/2018
201,796.7707952,64,0,9,5/9/2018
202,877.0652174,68,0,10,5/9/2018
203,867.0638965,71,0,11,5/9/2018
204,768.5597159,74,0,12,5/9/2018
205,987.3083486,76,3.5,13,5/9/2018
206,1546.862424,69,9.2,14,5/9/2018
207,860.6296296,70,5.8,15,5/9/2018
208,1056.97179,72,6.9,16,5/9/2018
209,894.374661,71,6.9,17,5/9/2018
210,1088.988702,67,5.8,18,5/9/2018
211,799.6459579,66,8.1,19,5/9/2018
212,864.0898533,63,3.5,20,5/9/2018
213,759.006006,60,1.8,21,5/9/2018
214,699.4095052,58,0,22,5/9/2018
215,685.7505285,58,3.5,23,5/9/2018
216,689.7688564,56,0,0,5/10/2018
217,659.1183432,55,0,1,5/10/2018
218,528.33,55,0,2,5/10/2018
219,398.6382979,56,0,3,5/10/2018
220,659.7319588,56,0,4,5/10/2018
221,602.9520958,56,0,5,5/10/2018
222,652.1487696,54,0,6,5/10/2018
223,745.6616136,56,3.5,7,5/10/2018
224,801.5572233,58,3.5,8,5/10/2018
225,786.8624528,59,5.8,9,5/10/2018
226,848.1495759,61,5.8,10,5/10/2018
227,2004.257595,62,4.6,11,5/10/2018
228,824.1149209,63,0,12,5/10/2018
229,722.5072757,63,3.5,13,5/10/2018
230,771.9515174,61,0,14,5/10/2018
231,1722.152341,63,1.8,15,5/10/2018
232,849.2997983,64,3.5,16,5/10/2018
233,886.3587797,64,9.2,17,5/10/2018
234,852.1425867,64,4.6,18,5/10/2018
235,817.4274674,63,5.8,19,5/10/2018
236,763.976431,63,5.8,20,5/10/2018
237,700.1943765,63,4.6,21,5/10/2018
238,811.6193694,61,0,22,5/10/2018
239,774.8222849,61,0,23,5/10/2018
240,734.4444444,61,3.5,0,5/11/2018
241,638.5650224,60,0,1,5/11/2018
242,774.9016393,61,3.5,2,5/11/2018
243,833.6428571,61,0,3,5/11/2018
244,655.3736264,61,3.5,4,5/11/2018
245,611.4894068,60,3.5,5,5/11/2018
246,637.744213,61,5.8,6,5/11/2018
247,756.3410297,61,0,7,5/11/2018
248,820.9357784,61,2.3,8,5/11/2018
249,808.0628794,63,4.6,9,5/11/2018
250,796.9639971,64,16.1,10,5/11/2018
251,847.5170348,64,13.8,11,5/11/2018
252,885.8832069,64,4.6,12,5/11/2018
253,854.607154,66,5.8,13,5/11/2018
254,891.9760462,68,4.6,14,5/11/2018
255,900.8731884,70,4.6,15,5/11/2018
256,1127.75084,72,0,16,5/11/2018
257,904.9121012,72,5.8,17,5/11/2018
258,1683.815387,72,5.8,18,5/11/2018
259,905.1607449,70,3.5,19,5/11/2018
260,1460.948771,68,3.5,20,5/11/2018
261,937.1362587,66,3.5,21,5/11/2018
262,1134.613788,66,3.5,22,5/11/2018
263,1089.084637,66,3.5,23,5/11/2018
264,738.5851955,64,0,0,5/12/2018
265,786.0669643,63,4.6,1,5/12/2018
266,766.1872146,62,4.6,2,5/12/2018
267,987.1219512,61,0,3,5/12/2018
268,741.4782609,57,3.5,4,5/12/2018
269,639.2075472,58,4.6,5,5/12/2018
270,632.798995,52,0,6,5/12/2018
271,647.5466179,52,5.8,7,5/12/2018
272,641.6468647,52,0,8,5/12/2018
273,670.2762923,52,3.5,9,5/12/2018
274,959.7836167,55,4.6,10,5/12/2018
275,757.8543909,54,5.8,11,5/12/2018
276,773.0730159,55,4.6,12,5/12/2018
277,832.9477426,55,4.6,13,5/12/2018
278,861.3363883,57,0,14,5/12/2018
279,1077.243548,57,4.6,15,5/12/2018
280,1212.309883,59,5.8,16,5/12/2018
281,930.6304707,58,4.6,17,5/12/2018
282,725.437804,55,5.8,18,5/12/2018
283,696.2986369,55,0,19,5/12/2018
284,952.2925824,54,3.5,20,5/12/2018
285,732.1287247,54,4.6,21,5/12/2018
286,758.8849315,54,4.6,22,5/12/2018
287,724.9276923,53,3.5,23,5/12/2018
288,657.7561905,54,3.5,0,5/13/2018
289,846.4057508,53,4.6,1,5/13/2018
290,798.6831683,52,0,2,5/13/2018
291,677.4789916,52,0,3,5/13/2018
292,800.7560976,52,0,4,5/13/2018
293,723.9275362,52,3.5,5,5/13/2018
294,660.4898785,52,4.6,6,5/13/2018
295,1091.246914,52,3.5,7,5/13/2018
296,678.1849097,52,5.8,8,5/13/2018
297,672.1260188,54,3.5,9,5/13/2018
298,1027.73827,54,0,10,5/13/2018
299,749.3349835,54,5.8,11,5/13/2018
300,645.1536167,54,3.5,12,5/13/2018
301,649.3675832,52,3.5,13,5/13/2018
302,1587.148684,52,0,14,5/13/2018
303,739.6630852,52,0,15,5/13/2018
304,826.3006575,54,3.5,16,5/13/2018
305,721.3523132,53,0,17,5/13/2018
306,796.9216838,54,4.6,18,5/13/2018
307,730.8293608,54,4.6,19,5/13/2018
308,651.6889265,54,0,20,5/13/2018
309,826.7570755,54,0,21,5/13/2018
310,664.9330454,52,3.5,22,5/13/2018
311,676.9136126,52,3.5,23,5/13/2018
312,595.9068627,54,4.6,0,5/14/2018
313,603.1470588,53,0,1,5/14/2018
314,683.9375,53,0,2,5/14/2018
315,634.7142857,52,0,3,5/14/2018
316,622.4782609,52,0,4,5/14/2018
317,583.1060241,53,0,5,5/14/2018
318,622.6311301,54,0,6,5/14/2018
319,712.5336148,54,0,7,5/14/2018
320,797.0367151,54,0,8,5/14/2018
321,735.887632,55,0,9,5/14/2018
322,1723.248207,59,0,10,5/14/2018
323,1089.108095,61,0,11,5/14/2018
324,1441.072331,63,0,12,5/14/2018
325,742.545678,63,0,13,5/14/2018
326,838.1054162,65,4.6,14,5/14/2018
327,850.3635149,68,0,15,5/14/2018
328,1010.163035,70,4.6,16,5/14/2018
329,872.3611189,70,4,17,5/14/2018
330,848.7804441,66,3.5,18,5/14/2018
331,915.9715386,64,5.2,19,5/14/2018
332,887.3555255,62,6.9,20,5/14/2018
333,748.2204724,61,3.5,21,5/14/2018
334,726.3825088,61,4.6,22,5/14/2018
335,919.5858586,59,3.5,23,5/14/2018
336,1548.81875,61,0,0,5/15/2018
337,756.3294118,61,0,1,5/15/2018
338,1105.151163,61,0,2,5/15/2018
339,697.5348837,61,0,3,5/15/2018
340,570.6375,63,0,4,5/15/2018
341,620.5291829,62,0,5,5/15/2018
342,652.7669214,63,3.5,6,5/15/2018
343,745.3486665,63,1.8,7,5/15/2018
344,840.8468196,69,0,8,5/15/2018
345,791.4045286,72,0,9,5/15/2018
346,922.7628205,72,3.5,10,5/15/2018
347,928.1134064,75,3.5,11,5/15/2018
348,809.8498331,81,3.5,12,5/15/2018
349,836.7432578,84,0,13,5/15/2018
350,878.120636,86,8.1,14,5/15/2018
351,893.5719794,88,6.9,15,5/15/2018
352,1060.72721,88,4.6,16,5/15/2018
353,724.0360944,86,2.3,17,5/15/2018
354,628.783894,66,0,18,5/15/2018
355,695.8531915,66,3.5,19,5/15/2018
356,1277.605475,67,3.5,20,5/15/2018
357,738.5,66,0,21,5/15/2018
358,702.5628903,66,0,22,5/15/2018
359,713.6417323,67,3.5,23,5/15/2018
360,732.454039,63,9.2,0,5/16/2018
361,651.2135417,63,5.8,1,5/16/2018
362,757.9387755,63,0,2,5/16/2018
363,665.4444444,64,3.5,3,5/16/2018
364,701.626506,63,0,4,5/16/2018
365,607.989648,63,5.8,5,5/16/2018
366,640.6850054,63,3.5,6,5/16/2018
367,788.3915358,64,0,7,5/16/2018
368,778.0195753,63,6.9,8,5/16/2018
369,811.6028101,63,8.1,9,5/16/2018
370,743.8233106,63,9.2,10,5/16/2018
371,740.6462949,62,0,11,5/16/2018
372,656.8293651,63,3.5,12,5/16/2018
373,672.3493014,61,0,13,5/16/2018
374,659.7966361,60,0,14,5/16/2018
375,633.9178273,61,3.5,15,5/16/2018
376,663.4191344,61,5.8,16,5/16/2018
377,702.1371341,59,6.9,17,5/16/2018
378,654.6716329,59,4.6,18,5/16/2018
379,775.3165906,57,3.5,19,5/16/2018
380,678.5798046,58,3.5,20,5/16/2018
381,764.8079937,57,0,21,5/16/2018
382,672.9977221,57,0,22,5/16/2018
383,696.6638655,57,4.6,23,5/16/2018
384,607.1370968,57,0,0,5/17/2018
385,556.9896907,56,3.5,1,5/17/2018
386,667.8082192,56,3.5,2,5/17/2018
387,553.0227273,55,3.5,3,5/17/2018
388,692.9756098,55,3.5,4,5/17/2018
389,463.8255814,57,3.5,5,5/17/2018
390,480.6373626,57,3.5,6,5/17/2018
391,736.215242,57,0,7,5/17/2018
392,716.1605046,58,0,8,5/17/2018
393,677.0722154,59,0,9,5/17/2018
394,713.7815126,61,0,10,5/17/2018
395,705.4097117,61,0,11,5/17/2018
396,705.6036387,63,0,12,5/17/2018
397,746.207078,63,0,13,5/17/2018
398,777.1883995,66,0,14,5/17/2018
399,840.8320442,68,0,15,5/17/2018
400,867.8337428,70,0,16,5/17/2018
401,898.3787145,70,3.5,17,5/17/2018
402,849.9927436,72,0,18,5/17/2018
403,802.434193,70,0,19,5/17/2018
404,787.851565,69,4.6,20,5/17/2018
405,881.5430622,70,0,21,5/17/2018
406,810.91052,70,4.6,22,5/17/2018
407,767.9365559,68,0,23,5/17/2018
408,720.1857451,66,0,0,5/18/2018
409,859.5787671,67,0,1,5/18/2018
410,676.299435,66,0,2,5/18/2018
411,654.8611111,66,0,3,5/18/2018
412,728.9010989,66,3.5,4,5/18/2018
413,564.016055,66,3.5,5,5/18/2018
414,622.9898154,64,0,6,5/18/2018
415,720.1338112,64,8.1,7,5/18/2018
416,772.7224987,64,9.2,8,5/18/2018
417,806.2877872,63,10.4,9,5/18/2018
418,756.6926388,63,8.1,10,5/18/2018
419,827.9987185,62,9.2,11,5/18/2018
420,787.4842342,63,8.1,12,5/18/2018
421,796.0625229,63,6.9,13,5/18/2018
422,773.4664229,62,8.1,14,5/18/2018
423,834.8312388,63,10.4,15,5/18/2018
424,956.7379135,64,5.8,16,5/18/2018
425,882.3042226,63,9.2,17,5/18/2018
426,850.1960967,63,6.9,18,5/18/2018
427,964.4077559,61,3.5,19,5/18/2018
428,876.3313953,60,5.8,20,5/18/2018
429,1323.683518,59,4.6,21,5/18/2018
430,1286.045151,57,8.1,22,5/18/2018
431,1214.394231,57,0,23,5/18/2018
432,760.724359,55,5.8,0,5/19/2018
433,673.1042184,56,6.9,1,5/19/2018
434,804.2723735,54,6.9,2,5/19/2018
435,927.9052632,54,6.9,3,5/19/2018
436,985.2692308,54,6.9,4,5/19/2018
437,867.8246753,50,10.4,5,5/19/2018
438,593.2582781,50,5.8,6,5/19/2018
439,650.8819876,50,6.9,7,5/19/2018
440,680.5239295,50,4.6,8,5/19/2018
441,904.3424191,52,8.1,9,5/19/2018
442,568.6885965,52,5.8,10,5/19/2018
443,823.876905,51,9.2,11,5/19/2018
444,820.9837067,54,6.9,12,5/19/2018
445,638.8175,54,9.2,13,5/19/2018
446,737.8785166,54,5.8,14,5/19/2018
447,748.6966086,55,0,15,5/19/2018
448,748.876703,55,3.5,16,5/19/2018
449,851.1532394,56,5.8,17,5/19/2018
450,1646.898667,55,3.5,18,5/19/2018
451,711.6784053,55,0,19,5/19/2018
452,846.3505599,56,0,20,5/19/2018
453,721.0011186,55,0,21,5/19/2018
454,714.0992647,55,0,22,5/19/2018
455,758.2108963,55,0,23,5/19/2018
456,745.8921162,55,0,0,5/20/2018
457,894.2393939,56,0,1,5/20/2018
458,730.6604478,57,0,2,5/20/2018
459,918.4941176,57,0,3,5/20/2018
460,936.3931624,59,0,4,5/20/2018
461,626.4130435,59,0,5,5/20/2018
462,941.0755814,63,0,6,5/20/2018
463,759.8496583,66,0,7,5/20/2018
464,743.3012959,68,3.5,8,5/20/2018
465,829.9245407,70,10.4,9,5/20/2018
466,840.2808191,72,8.1,10,5/20/2018
467,891.5515651,74,4.6,11,5/20/2018
468,959.6281811,75,4.6,12,5/20/2018
469,1047.378773,81,8.1,13,5/20/2018
470,1111.362813,79,6.9,14,5/20/2018
471,1219.997622,81,3.5,15,5/20/2018
472,1006.024602,81,6.9,16,5/20/2018
473,1531.44378,79,9.2,17,5/20/2018
