Date-Time,Duration,Air Temp F,Wind Spd (mph)
2018-05-01-00,938.2073732718894,49,3.5
2018-05-01-01,976.9019607843137,48,4.6000000000000085
2018-05-01-02,592.4305555555555,50,3.5
2018-05-01-03,464.67692307692306,49,4.6
2018-05-01-04,617.0266666666666,50,0.0
2018-05-01-05,528.5139186295503,50,3.5
2018-05-01-06,619.8250137136588,49,0.0
2018-05-01-07,735.2352941176471,49,3.5
2018-05-01-08,868.785592563904,53,5.799999999999915
2018-05-01-09,1131.8413091991074,57,3.5
2018-05-01-10,953.2721817402486,61,6.8999999999997454
2018-05-01-11,909.866695614416,67,5.799999999999797
2018-05-01-12,913.3397985826184,70,9.200000000000443
2018-05-01-13,987.3734895642622,73,5.799999999999716
2018-05-01-14,1249.9422268907563,76,5.799999999999697
2018-05-01-15,868.849211563732,78,11.5
2018-05-01-16,878.1593366979091,79,11.5
2018-05-01-17,927.9655782312925,79,3.5
2018-05-01-18,933.1198906534756,80,0.0
2018-05-01-19,981.6143765658123,79,6.900000000000671
2018-05-01-20,1005.5579667063021,76,3.5
2018-05-01-21,1526.7105508870216,74,0.0
2018-05-01-22,920.0487804878048,74,4.600000000000098
2018-05-01-23,740.3554735547356,72,9.199999999999877
2018-05-02-00,785.2762148337596,71,4.59999999999997
2018-05-02-01,811.754189944134,70,6.900000000000002
2018-05-02-02,609.8313253012049,70,6.89999999999999
2018-05-02-03,665.3777777777777,69,5.800000000000003
2018-05-02-04,667.1157894736842,68,4.600000000000007
2018-05-02-05,643.5223880597015,66,4.599999999999961
2018-05-02-06,658.9449197860963,65,3.5
2018-05-02-07,803.8123949075186,67,5.799999999999564
2018-05-02-08,847.2870213963964,69,3.5
2018-05-02-09,816.2031149989332,73,4.599999999999846
2018-05-02-10,922.3204373423044,78,3.5
2018-05-02-11,876.3835493965132,83,4.600000000000193
2018-05-02-12,875.8454512239679,85,5.2000000000002355
2018-05-02-13,768.4555707450444,87,5.799999999999686
2018-05-02-14,815.9292667099286,88,5.799999999999666
2018-05-02-15,1363.624269005848,88,5.799999999999627
2018-05-02-16,1006.9118124854955,89,10.400000000000828
2018-05-02-17,915.4157826649417,88,5.800000000000408
2018-05-02-18,1131.5224556547994,87,19.60000000000294
2018-05-02-19,962.1915254237288,85,15.0
2018-05-02-20,904.7868566443734,83,8.099999999999552
2018-05-02-21,828.0498116366681,83,5.799999999999779
2018-05-02-22,837.709243697479,79,4.60000000000015
2018-05-02-23,810.0712742980562,80,4.0
2018-05-03-00,786.6535087719299,78,3.5
2018-05-03-01,844.3271028037383,76,5.799999999999977
2018-05-03-02,1003.0909090909091,75,5.799999999999997
2018-05-03-03,1435.9038461538462,74,8.100000000000007
2018-05-03-04,511.57798165137615,73,3.5
2018-05-03-05,621.8505494505495,73,6.900000000000056
2018-05-03-06,666.4807056229328,72,8.100000000000245
2018-05-03-07,802.1780208851318,71,9.200000000000122
2018-05-03-08,852.9637002341921,73,9.199999999998875
2018-05-03-09,787.7285467874084,77,0.0
2018-05-03-10,801.5410309278351,81,3.5
2018-05-03-11,1420.635652531906,84,6.899999999999782
2018-05-03-12,882.782381485629,88,10.40000000000045
2018-05-03-13,790.3518930957683,89,13.799999999999894
2018-05-03-14,820.4320508295093,90,12.700000000000207
2018-05-03-15,813.1880486158001,92,9.20000000000047
2018-05-03-16,856.372934888241,92,8.099999999999387
2018-05-03-17,1210.9481084215104,91,7.5
2018-05-03-18,1710.4932614555255,90,6.900000000000878
2018-05-03-19,906.6854374810778,88,6.900000000000225
2018-05-03-20,1596.9334402566158,72,3.5
2018-05-03-21,1015.0162162162162,73,0.0
2018-05-03-22,783.663723325975,75,0.0
2018-05-03-23,859.6783144912641,72,0.0
2018-05-04-00,871.369387755102,73,0.0
2018-05-04-01,822.2239382239383,74,0.0
2018-05-04-02,938.483606557377,73,0.0
2018-05-04-03,811.3285714285714,73,6.8999999999999915
2018-05-04-04,704.7096774193549,73,0.0
2018-05-04-05,622.458244111349,73,0.0
2018-05-04-06,641.7732843137255,73,3.5
2018-05-04-07,757.651857835218,73,0.0
2018-05-04-08,801.2073227976842,74,0.0
2018-05-04-09,768.0748175182482,74,0.0
2018-05-04-10,795.6018919984233,76,4.600000000000213
2018-05-04-11,816.2572016460905,76,5.79999999999977
2018-05-04-12,1080.7746625129803,77,3.5
2018-05-04-13,793.8687609075043,77,6.900000000000037
2018-05-04-14,841.8554062699936,81,0.0
2018-05-04-15,847.5795002839296,81,6.9000000000003014
2018-05-04-16,978.1365731043151,81,6.299999999999506
2018-05-04-17,869.0071079520213,82,5.800000000000047
2018-05-04-18,1021.6571673819742,84,0.0
2018-05-04-19,1347.49853515625,82,0.0
2018-05-04-20,873.8654147104851,82,3.5
2018-05-04-21,932.8017917133259,82,4.699999999999893
2018-05-04-22,838.3652234636871,81,5.800000000000117
2018-05-04-23,2455.3402597402596,81,6.899999999999856
2018-05-05-00,953.1203104786546,77,8.100000000000083
2018-05-05-01,787.799591002045,76,9.199999999999916
2018-05-05-02,827.4054054054054,73,8.099999999999955
2018-05-05-03,734.436170212766,71,9.20000000000003
2018-05-05-04,1248.7404580152672,68,9.200000000000022
2018-05-05-05,766.109243697479,65,10.400000000000004
2018-05-05-06,733.5476839237057,63,8.099999999999946
2018-05-05-07,782.1033210332104,61,5.800000000000089
2018-05-05-08,964.8271227855834,61,3.5
2018-05-05-09,866.2175602175602,61,5.799999999999742
2018-05-05-10,918.3106766917293,63,15.0
2018-05-05-11,949.6734848484848,66,13.800000000000859
